 -4.24870020607713144e-10  3.40924397274827403e-03 -4.43888828831307949e-08
  2.24756095924283612e-10  3.77137956105527714e-14 -2.15935056194421611e-16
 -2.51019625049401064e-20  1.61918678531462959e-22  3.50517901950658087e-26
 -2.53627381629071292e-27 -1.28016287720126209e-31  3.70553924819306203e-32
1136+1551  22-Jan-14   90000.00   56679.37499999990             4.864055 -0.709 -9.844
    747135783.800759    0.841812442909 gmrt  300   12   150.000                
 -1.26989334575233065e-10  3.43879834300265131e-03  1.22185198543840451e-07
  9.06425469594440971e-11 -2.28141404665657038e-13 -8.59048460055853677e-17
  1.44042601192887735e-19 -3.55286887868217360e-23  8.52629564951586091e-27
  2.81435829604359916e-27 -7.56534879605363535e-31 -4.05632908707844360e-32
1136+1551  22-Jan-14  130000.00   56679.54166666660             4.864055 -0.721 -9.560
    747147906.732745    0.841812442909 gmrt  300   12   150.000                
 -3.01873511488720825e-10  3.49978380981662849e-03  1.04223525807766847e-07
 -1.35887150394883932e-10 -1.99595052955022033e-13  1.29837715626909805e-16
  1.26111036001068616e-19 -4.69852230242808201e-23  5.07333833391100948e-27
 -4.31240147699049191e-28 -6.14896015632979445e-31  6.22318248502330398e-33
1136+1551  22-Jan-14  180000.00   56679.74999999990             4.864055 -0.723 -9.829
    747163060.411138    0.841812442909 gmrt  300   12   150.000                
 -1.89808831998531379e-10  3.51082427585555287e-03 -7.90580410794530756e-08
 -2.11208085152722602e-10  9.26775729086827151e-14  2.02631527029486844e-16
 -6.28265466487819001e-20 -1.34333614580917659e-22  1.80677569102069951e-25
  1.51655995103060601e-27 -2.50208623307319246e-30 -2.00970086783957569e-32
1136+1551  22-Jan-14  230000.00   56679.95833333320             4.864055 -0.706 -9.812
    747178214.076717    0.841812442909 gmrt  300   12   150.000                
  7.47728804818274844e-11  3.42327012059314003e-03 -1.75851427698843492e-07
  2.78858736606931006e-11  2.46902635025771972e-13 -2.67097965160060082e-17
 -1.55829354505492390e-19  2.80919918464678543e-23 -5.42497819925773859e-27
 -1.30342025956396307e-27  6.53817705149759444e-31  2.64587956090451011e-32
1136+1551  23-Jan-14   40000.00   56680.16666666660             4.864055 -0.691 -9.597
    747193367.714428    0.841812442909 gmrt  300   12   150.000                
 -2.15244083557938063e-10  3.34872697777861090e-03 -4.21251544326290570e-08
  2.25316719092323596e-10  3.34626252132644540e-14 -2.16758508961499962e-16
 -2.13416527035042307e-20  1.87743193933856048e-22  1.13766421057321668e-26
 -3.47907390500871221e-27 -1.36310477493180886e-31  4.90322254526243035e-32
1136+1551  23-Jan-14   90000.00   56680.37499999990             4.864055 -0.697 -9.822
    747208521.345061    0.841812442909 gmrt  300   12   150.000                
 -2.75763532350554991e-11  3.37935043081048986e-03  1.22842385928803340e-07
  8.70448499130287431e-11 -2.29810452153311850e-13 -8.30998265689546606e-17
  1.44504301297442710e-19  1.68813298362992722e-23  3.86683567303334472e-26
  6.71441701060245058e-28 -1.24441904116201092e-30 -8.39450806770461714e-33
