  9.03945123938719665e-24 -1.04383749649164859e-26 -1.13122767265796654e-29
1012+5307  22-Jan-14   20000.00   56679.08333333320             9.007277 -0.162 -7.620
 122629227075.725165  190.267837701386 lofar 300   12   150.000 0.1514   1.6538
  7.49656556991475098e-09 -6.13491716354115479e-01  7.06119296785750957e-05
  6.92936076025886688e-06 -3.67656494606586851e-10 -1.80241367824573924e-11
  6.59102813859764362e-16  2.22782999983701729e-17 -5.60707969428420679e-22
 -1.61137878341942056e-23 -5.19428646175905388e-28  1.05046583855729764e-29
1012+5307  22-Jan-14   70000.00   56679.29166666660             9.007277 -0.154 -7.243
 122632651864.442130  190.267837701386 lofar 300   12   150.000 0.4959   1.6538
 -7.07107608143714428e-08  6.43459390844395851e-01  2.32953882082294643e-03
 -4.03713062909449743e-06 -1.01433289397333436e-08  1.05399795663111642e-11
  1.76435853381600065e-14 -1.30584756010793523e-17 -1.65162150713328428e-20
  9.33492707590691197e-24  9.41523715136737384e-27 -3.97222214475585961e-30
1012+5307  22-Jan-14  120000.00   56679.49999999990             9.007277 -0.155 -7.458
 122636076931.819778  190.267837701386 lofar 300   12   150.000 0.8405   1.6538
 -2.69912907753522280e-08  4.51342682621602265e-01 -2.69882143514473070e-03
 -2.37692549054090422e-06  1.17263033739546577e-08  6.19167756449539100e-12
 -2.03992565091965419e-14 -7.63900532911021955e-18  1.90873333762262486e-20
  5.79972433629774186e-24 -1.14450128811456039e-26 -8.52597692243644304e-30
1012+5307  22-Jan-14  160000.00   56679.66666666660             9.007277 -0.158 -7.424
 122638816748.498494  190.267837701386 lofar 300   12   150.000 0.1161   1.6538
  1.64667338965751586e-09 -6.04135032983285303e-01 -5.39241032429619519e-04
  6.79391848654595150e-06  2.34647724107190909e-09 -1.76948108970690607e-11
 -4.08043259090239401e-15  2.18804360940673986e-17  3.74979570410208508e-21
 -1.56913930771418716e-23 -1.92210909270097820e-27  8.57595488296903542e-30
1012+5307  22-Jan-14  210000.00   56679.87499999990             9.007277 -0.157 -7.499
 122642241500.997687  190.267837701386 lofar 300   12   150.000 0.4607   1.6538
 -2.78423183067838531e-08  4.93007789935412111e-01  2.64061540784065385e-03
 -2.74086855222601649e-06 -1.14990838061797004e-08  7.09484188419964182e-12
  1.99934978793484860e-14 -8.74916980702704157e-18 -1.86719755456505398e-20
  6.77805843366931562e-24  1.05843567831390729e-26 -1.08066088106987779e-29
1012+5307  23-Jan-14   20000.00   56680.08333333320             9.007277 -0.148 -7.557
 122645666569.346472  190.267837701386 lofar 300   12   150.000 0.8052   1.6538
  3.60659904285326460e-08  6.02573156143526467e-01 -2.44137787626068576e-03
 -3.75657457132107667e-06  1.05369647990583019e-08  9.77796190120670662e-12
 -1.82971214368310786e-14 -1.21004373069204988e-17  1.71406357054860095e-20
  8.82317842332922306e-24 -1.03249173447684341e-26 -4.97427357158747427e-30
1012+5307  23-Jan-14   70000.00   56680.29166666660             9.007277 -0.141 -7.463
 122649091344.402286  190.267837701386 lofar 300   12   150.000 0.1497   1.6538
  1.77754050743471510e-08 -6.38102640406418842e-01  5.26782554755811057e-05
  6.94972608901441461e-06 -2.57592756064557053e-10 -1.80463572669407727e-11
  4.50754772318923198e-16  2.22796558921027116e-17 -4.92219206547116627e-22
 -1.56551261368115478e-23  1.54535889150888907e-27  3.97063303221541827e-30
1012+5307  23-Jan-14  120000.00   56680.49999999990             9.007277 -0.141 -7.502
 122652516125.369000  190.267837701386 lofar 300   12   150.000 0.4943   1.6538
  8.46331662911203875e-09  6.21888130719191690e-01  2.36211957781912651e-03
 -3.99075216515869246e-06 -1.02427425043382100e-08  1.03994792393956019e-11
  1.77883087324518073e-14 -1.28954756423682429e-17 -1.66036354814553142e-20
  9.99579083447312033e-24  8.86922301575024206e-27 -1.48143144043529708e-29
