 -2.28656085960916259e-07 -1.49521476243893108e-10  2.06048864805593787e-13
  9.07132095840313399e-17 -8.92445532081616003e-20 -2.92798769484896408e-23
  3.17135811599196519e-26 -7.90671600248097911e-30 -6.81563548390640792e-32
B0655+64   15-Jun-14   83000.00   56823.35416666660             8.771165  0.186 -8.296
   3540122415.765128    5.110620788131  aro  300   12   327.000 0.7877   0.9721
 -4.24046406262467215e-09  7.85232611644057221e-02 -6.31681466397516946e-05
 -2.53149991086478286e-07  9.51743250027013150e-11  2.28395552991904573e-13
 -5.78143218722181634e-17 -9.79984729483904942e-20  2.02255308087422542e-23
 -8.09331039287010709e-27 -1.19343522236392996e-29  4.22715078650455431e-31
B0655+64   15-Jun-14  133000.00   56823.56249999990             8.771165  0.184 -8.767
   3540214419.240010    5.110620788131  aro  300   12   327.000 0.9902   0.9721
  2.44190410513683842e-10 -9.49835419624735049e-03 -1.89428793814859579e-04
  1.14239175427281407e-08  2.84177219704249707e-10 -1.10895555900836756e-14
 -1.70387181686960639e-16  5.99081536486288113e-21  5.60233906123899489e-23
  5.26419146260544195e-27 -3.35275717784895261e-29 -1.32284136198372234e-31
B0655+64   15-Jun-14  183000.00   56823.77083333320             8.771165  0.185 -8.551
   3540306392.980037    5.110620788131  aro  300   12   327.000 0.1927   0.9721
 -1.16810426034532483e-09 -9.21897380690559626e-02 -4.80077955441701143e-05
  2.59201247582657833e-07  7.19453470816523974e-11 -2.32455440688726173e-13
 -4.25926606800335260e-17  9.89902347228446520e-20  1.44717756103520663e-23
 -4.31421346161146331e-26 -2.49301664147029601e-29  2.28621702341061440e-31
B0655+64   15-Jun-14  233000.00   56823.97916666660             8.771166  0.186 -8.398
   3540398359.183836    5.110620788131  aro  300   12   327.000 0.3953   0.9721
  1.03158003330900555e-09 -5.27641631717310419e-02  1.61287579894940338e-04
  1.41538022491559378e-07 -2.41166805474080774e-10 -1.27698759390011346e-13
  1.43582589006583971e-16  5.47266003623180316e-20 -4.61794898202729600e-23
  6.82098826330660961e-27  2.92852715167577999e-29 -2.65865271781030210e-31
B0655+64   16-Jun-14   43000.00   56824.18749999990             8.771166  0.184 -8.726
   3540490350.715972    5.110620788131  aro  300   12   327.000 0.5978   0.9721
 -1.16793577912242819e-09  5.32957594957695832e-02  1.43224761356411709e-04
 -1.76335009974985853e-07 -2.15059124756275379e-10  1.58487145543848248e-13
  1.30159853604506888e-16 -6.80619929376435420e-20 -4.37415908057595220e-23
  2.47109873154164463e-26  1.96709380492445504e-29 -4.62937227746559794e-32
B0655+64   16-Jun-14   83000.00   56824.35416666660             8.771166  0.174 -8.271
   3540563961.692430    5.110620788131  aro  300   12   327.000 0.7598   0.9721
 -5.15781374056147046e-09  8.28273619578409337e-02 -3.10062830156420237e-05
 -2.64992399559441028e-07  4.68020718730602524e-11  2.39183854712515550e-13
 -2.84239250986679706e-17 -1.02670859962052169e-19  9.80876467280555418e-24
 -1.53141608146215226e-26 -2.32983690774469728e-30  5.66372960743319273e-31
B0655+64   16-Jun-14  133000.00   56824.56249999990             8.771166  0.172 -8.750
   3540655968.687515    5.110620788131  aro  300   12   327.000 0.9623   0.9721
 -1.05144047418334607e-09  6.50570633577850915e-03 -1.87995724846203477e-04
 -3.54712238867822865e-08  2.82202731675770292e-10  3.11326924822820139e-14
 -1.69620041469680408e-16 -1.23301461267496481e-20  5.63914493172130034e-23
  1.46312716277204758e-26 -3.39961529963525573e-29 -1.78662582020583334e-31
B0655+64   16-Jun-14  183000.00   56824.77083333320             8.771166  0.173 -8.554
   3540747946.174866    5.110620788131  aro  300   12   327.000 0.1648   0.9721
 -7.65811160471051300e-10 -8.65691631941084283e-02 -7.92397725736110879e-05
  2.43506617730448019e-07  1.18641076063503784e-10 -2.18525309815325847e-13
