1810+17    27-Jul-13   83000.00   56500.35416666660            39.659352  0.392 -2.689
  50421732872.618444  601.411516081674  aro  300   12   150.000 0.4503   6.7490
  2.95589402078010738e-03 -1.79137027145178651e+00  2.42081560941582140e-02
  5.43231677898057123e-05 -1.74606566846694753e-06 -2.34146877167280723e-09
  4.96595662901280821e-11  4.74767416499012107e-14 -7.07344300765694118e-16
 -5.25088130963144916e-19  4.60137336863295601e-21  2.80465598153183371e-24
1810+17    27-Jul-13  133000.00   56500.56249999990            39.659352  0.388 -2.800
  50432557951.172165  601.411516081674  aro  300   12   150.000 0.8563   6.7490
 -2.24959838249486760e-03 -1.72558108488806927e-01 -1.69918693851009474e-02
 -1.77653696124879096e-04  1.22926754845134812e-06  7.70462847787584273e-09
 -3.50192524007438684e-11 -1.58075579703017025e-13  5.00674676739330375e-16
  1.79973982388179613e-18 -3.27808626163820268e-21 -1.01227975774432603e-23
1810+17    27-Jul-13  173000.00   56500.72916666660            39.659352  0.380 -2.618
  50441217962.318249  601.411516081674  aro  300   12   150.000 0.9809   6.7490
 -3.54394672242672182e-03 -1.31928646036339048e+00 -2.48026898617468988e-02
 -7.58805624747921358e-06  1.79267333421173965e-06  3.25544329973782769e-10
 -5.11537024703665202e-11 -6.65059567879429831e-15  7.34268477102928220e-16
  7.49661495617876986e-20 -4.84043879184147920e-21 -4.14388202415090573e-25
1810+17    27-Jul-13  223000.00   56500.93749999990            39.659352  0.379 -2.750
  50452042856.307030  601.411516081674  aro  300   12   150.000 0.3869   6.7490
  2.56995869722684636e-03 -2.35067763063289847e+00  2.01653449536281781e-02
  1.41889450437262193e-04 -1.45651852599111952e-06 -6.13442462745816884e-09
  4.14596467906263517e-11  1.24458673886258633e-13 -5.91701304241822029e-16
 -1.37834301035849019e-18  3.86218034945580148e-21  7.38037440257603251e-24
1810+17    28-Jul-13   33000.00   56501.14583333320            39.659352  0.392 -3.098
  50462867913.831676  601.411516081674  aro  300   12   150.000 0.7930   6.7490
 -9.62221986841033453e-04  1.67228730272224041e-01 -8.81462909940782663e-03
 -2.28598636042064878e-04  6.28103619868509009e-07  9.90456257785518673e-09
 -1.78272023565763512e-11 -2.02730980504765144e-13  2.52811289329712752e-16
  2.29493965003170373e-18 -1.63191969103706854e-21 -1.27808671901082932e-23
1810+17    28-Jul-13   83000.00   56501.35416666660            39.659352  0.403 -3.250
